Origin;Long;Lat;Destination;Long;Lat;Amount
MEG3;4.27474;51.36476;PET5;11.98515;51.39007;94807
MEG4;4.33268;51.24337;PET4;4.47773;51.92442;417000
PET3;4.96226;51.14385;D1;5.938828;49.568814;30000
PET3;4.96226;51.14385;D2;2.380377;48.294945;30000
PET3;4.96226;51.14385;D5;4.900374;46.974735;37507
PET3;4.96226;51.14385;D6;2.42026;50.955179;39148
PET3;4.96226;51.14385;D7;4.636512;51.354767;34827
PET3;4.96226;51.14385;D9;7.296244;50.372365;49651
PET3;4.96226;51.14385;D11;-4.058347;40.20017;47230
PET3;4.96226;51.14385;D12;19.060493;50.108736;48071
PET3;4.96226;51.14385;D13;26.238654;44.980778;28991
PET3;4.96226;51.14385;D20;3.862541;51.012566;44575
PET4;4.47773;51.92442;D3;13.117282;41.736609;43803
PET4;4.47773;51.92442;D4;8.555636;45.932569;33918
PET4;4.47773;51.92442;D10;14.200685;50.016293;43454
PET4;4.47773;51.92442;D13;26.238654;44.980778;16455
PET4;4.47773;51.92442;D14;25.059337;54.638335;31495
PET4;4.47773;51.92442;D15;2.60485;41.729028;43432
PET4;4.47773;51.92442;D17;12.616566;45.665796;41662
PET4;4.47773;51.92442;D18;14.474148;50.378528;37573
PET4;4.47773;51.92442;D19;-6.696126;38.134402;44708
PET4;4.47773;51.92442;D21;22.135509;48.338159;47212
PET4;4.47773;51.92442;D22;21.64677;38.109148;46556
PET5;11.98515;51.39007;D8;-2.986733;53.076837;49532
PET5;11.98515;51.39007;D16;3.952883;46.012353;45275
AT21;14.51034502;46.70703673;F6;11.9970251;45.6128943;6120.245
BE21;5.226168747;51.25505878;F1;4.2514629;51.5079345;22975.569
BE23;3.511506002;50.77510677;F1;4.2514629;51.5079345;42823.097
BE24;3.977785704;50.69224299;F1;4.2514629;51.5079345;36970.423
BE25;2.737996066;50.8011083;F1;4.2514629;51.5079345;51739.393
BE31;4.149398294;50.68307085;F1;4.2514629;51.5079345;20934.975
BE32;2.995043302;50.79898045;F1;4.2514629;51.5079345;19410.912
BE35;4.45438947;50.26561594;F2;4.1610455;49.350418;5586.898
HR03;13.83655186;45.34450849;F6;11.9970251;45.6128943;4411.912
CZ01;14.28874155;50.04958371;F1;4.2514629;51.5079345;1795.227
CZ02;13.54220708;50.16525144;F1;4.2514629;51.5079345;102340.377
CZ03;12.70345194;49.70237949;F1;4.2514629;51.5079345;70819.011
CZ04;12.41848731;50.10463939;F1;4.2514629;51.5079345;22148.575
FR10;1.615294929;48.77194518;F2;4.1610455;49.350418;182005.398
FR21;3.408025438;48.45946362;F2;4.1610455;49.350418;193880.047
FR22;1.566239639;50.01601782;F1;4.2514629;51.5079345;187298.453
FR23;0.109862896;49.57201517;F2;4.1610455;49.350418;61053.11
FR24;0.138789792;47.21838902;F2;4.1610455;49.350418;378667.113
FR25;-1.775983796;49.49878444;F1;4.2514629;51.5079345;315482.007
FR26;2.987056346;47.38592755;F2;4.1610455;49.350418;204004.073
FR30;1.635204923;50.58156867;F1;4.2514629;51.5079345;151138.641
FR41;#N/A;#N/A;F2;4.1610455;49.350418;158291.833
FR42;7.083237094;47.69875553;F2;4.1610455;49.350418;49725.57
FR43;5.406710267;46.75763449;F2;4.1610455;49.350418;49379.437
FR51;-2.289465851;47.31446185;F2;4.1610455;49.350418;357241.39
FR52;-4.752518325;48.37623316;F2;4.1610455;49.350418;418722.076
FR53;-1.068784185;45.99294905;F2;4.1610455;49.350418;289499.488
FR63;1.054463183;45.7583403;F2;4.1610455;49.350418;64783.738
FR71;4.676607881;44.34043721;F2;4.1610455;49.350418;127131.59
FR72;2.079263984;44.93493209;F2;4.1610455;49.350418;61469.039
DE12;8.134796193;48.81968378;F2;4.1610455;49.350418;22221.77578
DE73;8.730999653;51.04031857;F1;4.2514629;51.5079345;44924.315
DE91;9.552023663;51.65761573;F1;4.2514629;51.5079345;62600.688
DEA2;6.072879352;51.08872231;F1;4.2514629;51.5079345;121176.538
DEA3;6.445188445;51.82050117;F1;4.2514629;51.5079345;78756.531
DEA4;8.121302405;52.00303326;F1;4.2514629;51.5079345;63911.75
DEA5;7.36174197;51.53886836;F1;4.2514629;51.5079345;77526.322
DEB1;7.210980897;50.22212677;F1;4.2514629;51.5079345;55504.115
DEB2;6.209031452;50.12125233;F1;4.2514629;51.5079345;27666.312
DED2;13.2514236;51.23556888;F1;4.2514629;51.5079345;68915.465
DED4;11.98408115;50.41880419;F1;4.2514629;51.5079345;57985.221
DED5;12.19306937;51.27830542;F1;4.2514629;51.5079345;34705.704
ITC1;7.220306573;45.12519078;F2;4.1610455;49.350418;117074.03
ITC4;8.785916937;45.51544853;F2;4.1610455;49.350418;59263.39422
ITC4;8.785916937;45.51544853;F6;11.9970251;45.6128943;176644.5958
ITH2;10.51546855;46.34320425;F6;11.9970251;45.6128943;2466.894
ITH3;10.82909253;45.41102984;F6;11.9970251;45.6128943;415203.869
ITH4;12.56612353;45.99603389;F6;11.9970251;45.6128943;88870.387
ITH5;9.404376987;45.05209591;F6;11.9970251;45.6128943;157064.965
ITI2;11.96944733;43.01420246;F6;11.9970251;45.6128943;78229.02
NL11;6.322869793;53.31017277;F1;4.2514629;51.5079345;25580.429
NL12;5.411647655;53.11701497;F1;4.2514629;51.5079345;37405.104
NL22;5.360932287;51.9087508;F1;4.2514629;51.5079345;56548.306
NL23;5.374587771;52.34141289;F1;4.2514629;51.5079345;10663.551
NL32;4.678390076;52.25818936;F1;4.2514629;51.5079345;24971.444
NL33;4.206214692;51.82150606;F1;4.2514629;51.5079345;8772.841
NL34;3.375842839;51.32661939;F1;4.2514629;51.5079345;32270.389
NL41;4.231417195;51.62449222;F1;4.2514629;51.5079345;85932.069
NL42;5.914519883;50.93924;F1;4.2514629;51.5079345;43016.098
